Name,Position,Chromosome,Year,First author,Title,DOI
rs992037,162001436,6,28.11.2008 00:00,Christian Gieger,Genetics Meets Metabolomics: A Genome-Wide Association Study of Metabolite Profiles in Human Serum,10.1371/journal.pgen.1000282
rs3016539,162236075,6,29.07.2010 00:00,Siew-Kee Low,Genome-Wide Association Study of Pancreatic Cancer in Japanese Population,10.1371/journal.pone.0011824
rs365578,52937809,5,08.01.2010 00:00,Wilmar Igl,Modeling of Environmental Effects in Genome-Wide Association Studies Identifies SLC2A2 and HP as Novel Loci Influencing Serum Cholesterol Levels,10.1371/journal.pgen.1000798
rs4311394,53300662,5,11.12.2009 00:00,J Brent Richards,A Genome-Wide Association Study Reveals Variants in ARL15 that Influence Adiponectin Levels,10.1371/journal.pgen.1000768
rs2619046,55097534,5,17.03.2011 00:00,Lễ B Nguyễn,Phenotype Restricted Genome-Wide Association Study Using a Gene-Centric Approach Identifies Three Low-Risk Neuroblastoma Susceptibility Loci,10.1371/journal.pgen.1002026
rs889312,56031884,5,25.04.2008 00:00,Montserrat Garcia-Closas,Heterogeneity of Breast Cancer Associations with Five Susceptibility Loci by Clinical and Pathological Characteristics,10.1371/journal.pgen.1000054
rs889312,56031884,5,28.10.2010 00:00,Mia M Gaudet,Common Genetic Variants and Modification of Penetrance of BRCA2-Associated Breast Cancer,10.1371/journal.pgen.1001183
rs2257505,56207123,5,29.02.2008 00:00,David Serre,Differential Allelic Expression in the Human Genome: A Robust Approach To Identify Genetic and Epigenetic Cis-Acting Mechanisms Regulating Gene Expression,10.1371/journal.pgen.1000006
rs831791,56349763,5,29.04.2011 00:00,Brady Tang,"Comparative Linkage Meta-Analysis Reveals Regionally-Distinct, Disparate Genetic Architectures: Application to Bipolar Disorder and Schizophrenia",10.1371/journal.pone.0019073
rs702543,58842774,5,09.07.2010 00:00,Federico C F Calboli,A Genome-Wide Association Study of Neuroticism in a Population-Based Sample,10.1371/journal.pone.0011504
rs13158277,59474215,5,28.08.2009 00:00,Dana B Hancock,Genome-Wide Association Study Implicates Chromosome 9q21.31 as a Susceptibility Locus for Asthma in Mexican Children,10.1371/journal.pgen.1000623
rs346416,62541894,5,03.11.2010 00:00,Jeong-Hyun Kim,Genome-Wide and Follow-Up Studies Identify CEP68 Gene Variants Associated with Risk of Aspirin-Intolerant Asthma,10.1371/journal.pone.0013818
rs1364043,63250851,5,05.07.2011 00:00,Alexandra Schosser,Genomewide Association Scan of Suicidal Thoughts and Behaviour in Major Depression,10.1371/journal.pone.0020690
rs2561196,65105622,5,13.07.2011 00:00,Chunhui Chen,Contributions of Dopamine-Related Genes and Environmental Factors to Highly Sensitive Personality: A Multi-Step Neuronal System-Level Approach,10.1371/journal.pone.0021636
rs3213837,65321311,5,07.02.2007 00:00,Evangelos Evangelou,Meta-Analysis in Genome-Wide Association Datasets: Strategies and Application in Parkinson Disease,10.1371/journal.pone.0000196
rs317985,66737802,5,27.04.2011 00:00,Valerie W Hu,Novel Autism Subtype-Dependent Genetic Variants Are Revealed by Quantitative Trait and Subphenotype Association Analyses of Published GWAS Data,10.1371/journal.pone.0019067
rs706713,67522722,5,12.03.2008 00:00,Sylvane Desrivières,Nucleotide Sequence Variation within the PI3K p85 Alpha Gene Associates with Alcohol Risk Drinking Behaviour in Adolescents,10.1371/journal.pone.0001769
rs7713001,67963615,5,09.11.2009 00:00,Liang Li,Gemcitabine and Arabinosylcytosin Pharmacogenomics: Genome-Wide Association and Drug Response Biomarkers,10.1371/journal.pone.0007765
rs337253,68423069,5,03.08.2010 00:00,Xuting Wang,Genetic Variation and Antioxidant Response Gene Expression in the Bronchial Airway Epithelium of Smokers at Risk for Lung Cancer,10.1371/journal.pone.0011934
rs164390,68463014,5,12.04.2011 00:00,Sirkku Karinen,Data Integration Workflow for Search of Disease Driving Genes and Genetic Variants,10.1371/journal.pone.0018636
rs2654498,5401326,4,10.09.2010 00:00,Qin Li,Genome Scan for Locus Involved in Mandibular Prognathism in Pedigrees from China,10.1371/journal.pone.0012678
rs10010131,6292915,4,26.03.2010 00:00,Rosalind J Neuman,Gene-Gene Interactions Lead to Higher Risk for Development of Type 2 Diabetes in an Ashkenazi Jewish Population,10.1371/journal.pone.0009903
rs10010131,6292915,4,28.10.2009 00:00,Cheng Hu,"PPARG, KCNJ11, CDKAL1, CDKN2A-CDKN2B, IDE-KIF11-HHEX, IGF2BP2 and SLC30A8 Are Associated with Type 2 Diabetes in a Chinese Population",10.1371/journal.pone.0007643
rs10010131,6292915,4,02.12.2010 00:00,Silke A Herzberg-Schäfer,Evaluation of Fasting State-/Oral Glucose Tolerance Test-Derived Measures of Insulin Release for the Detection of Genetically Impaired β-Cell Function,10.1371/journal.pone.0014194
rs10010131,6292915,4,26.08.2010 00:00,Kevin M Waters,Consistent Association of Type 2 Diabetes Risk Variants Found in Europeans in Diverse Racial and Ethnic Groups,10.1371/journal.pgen.1001078
rs10010131,6292915,4,16.09.2010 00:00,Xiao Ou Shu,Identification of New Genetic Risk Variants for Type 2 Diabetes,10.1371/journal.pgen.1001127
rs10010131,6292915,4,19.12.2008 00:00,Guillaume Paré,"Novel Association of HK1 with Glycated Hemoglobin in a Non-Diabetic Population: A Genome-Wide Evaluation of 14,618 Participants in the Women's Genome Health Study",10.1371/journal.pgen.1000312
rs10010131,6292915,4,17.11.2010 00:00,Min Xu,Combined Effects of 19 Common Variations on Type 2 Diabetes in Chinese: Results from Two Community-Based Studies,10.1371/journal.pone.0014022
rs10010131,6292915,4,18.11.2010 00:00,Christopher G Bell,Integrated Genetic and Epigenetic Analysis Identifies Haplotype-Specific Methylation in the FTO Type 2 Diabetes and Obesity Susceptibility Locus,10.1371/journal.pone.0014040
rs10012946,6293350,4,31.12.2010 00:00,Badri Padhukasahasram,Presymptomatic Risk Assessment for Chronic Non-Communicable Diseases,10.1371/journal.pone.0014338
rs734312,6303354,4,22.07.2011 00:00,Bin Cui,A Genome-Wide Association Study Confirms Previously Reported Loci for Type 2 Diabetes in Han Chinese,10.1371/journal.pone.0022353
rs6829649,8070793,4,09.09.2010 00:00,Erin N Smith,Longitudinal Genome-Wide Association of Cardiovascular Disease Risk Factors in the Bogalusa Heart Study,10.1371/journal.pgen.1001094
rs10805346,9920347,4,19.08.2011 00:00,Wenhua Wei,Characterisation of Genome-Wide Association Epistasis Signals for Serum Uric Acid in Human Population Isolates,10.1371/journal.pone.0023836
rs16890979,9922167,4,09.11.2007 00:00,Siguang Li,The GLUT9 Gene Is Associated with Serum Uric Acid Levels in Sardinia and Chianti Cohorts,10.1371/journal.pgen.0030194
rs16890979,9922167,4,05.06.2009 00:00,Melanie Kolz,"Meta-Analysis of 28,141 Individuals Identifies Common Variants within Five New Loci That Influence Uric Acid Concentrations",10.1371/journal.pgen.1000504
rs734553,9923004,4,05.11.2009 00:00,Klaus Stark,"Common Polymorphisms Influencing Serum Uric Acid Levels Contribute to Susceptibility to Gout, but Not to Coronary Artery Disease",10.1371/journal.pone.0007729
rs6855911,9935910,4,09.04.2008 00:00,Klaus Stark,Association of Common Polymorphisms in GLUT9 Gene with Gout but Not with Coronary Artery Disease in a Large Case-Control Study,10.1371/journal.pone.0001948
rs7442295,9966380,4,07.10.2008 00:00,Mark J Caulfield,SLC2A9 Is a High-Capacity Urate Transporter in Humans,10.1371/journal.pmed.0050197
rs6845554,10013173,4,21.07.2011 00:00,Daniëlle van Manen,Genome-Wide Association Scan in HIV-1-Infected Individuals Identifying Variants Influencing Disease Course,10.1371/journal.pone.0022208
rs4607209,10400156,4,02.07.2010 00:00,Joon Seol Bae,Genome-Wide Profiling of Structural Genomic Variations in Korean HapMap Individuals,10.1371/journal.pone.0011417
rs10488945,10490278,4,15.11.2010 00:00,Lesley Jones,Genetic Evidence Implicates the Immune System and Cholesterol Metabolism in the Aetiology of Alzheimer's Disease,10.1371/journal.pone.0013950
rs7676721,13916351,4,06.02.2009 00:00,Anna C Need,A Genome-Wide Investigation of SNPs and CNVs in Schizophrenia,10.1371/journal.pgen.1000373
rs4629443,15385866,4,19.02.2010 00:00,Matteo Fumagalli,Genome-Wide Identification of Susceptibility Alleles for Viral Infections through a Population Genetics Approach,10.1371/journal.pgen.1000849
rs2535228,17532780,4,21.09.2010 00:00,Sher L Hendrickson,Genetic Variants in Nuclear-Encoded Mitochondrial Genes Influence AIDS Progression,10.1371/journal.pone.0012862
rs16895878,17847281,4,22.12.2009 00:00,Daniel Shriner,Transferability and Fine-Mapping of Genome-Wide Associated Loci for Adult Height across Human Populations,10.1371/journal.pone.0008398
rs6842303,17854055,4,06.03.2009 00:00,Ulla Sovio,Genetic Determinants of Height Growth Assessed Longitudinally from Infancy to Adulthood in the Northern Finland Birth Cohort 1966,10.1371/journal.pgen.1000409
rs6817306,17868058,4,03.04.2009 00:00,Nicole Soranzo,Meta-Analysis of Genome-Wide Scans for Human Adult Stature Identifies Novel Loci and Associations with Measures of Skeletal Frame Size,10.1371/journal.pgen.1000445
rs759171,55086212,7,24.03.2009 00:00,Linda M Dong,"An Analysis of Growth, Differentiation and Apoptosis Genes with Risk of Renal Cancer",10.1371/journal.pone.0004895
rs13222385,55251593,7,02.09.2010 00:00,Thomas LaFramboise,Allelic Selection of Amplicons in Glioblastoma Revealed by Combining Somatic and Germline Analysis,10.1371/journal.pgen.1001086
rs1464853,70419818,7,28.10.2005 00:00,Lars Feuk,Discovery of Human Inversion Polymorphisms by Comparative Analysis of Human and Chimpanzee DNA Sequence Assemblies,10.1371/journal.pgen.0010056
rs6460033,72263918,7,01.05.2009 00:00,Wanwan Tang,Epistatic Module Detection for Case-Control Studies: A Bayesian Model with a Gibbs Sampling Strategy,10.1371/journal.pgen.1000464
rs2240466,72856269,7,18.05.2010 00:00,Tanja Zeller,Genetics and Beyond – The Transcriptome of Human Monocytes and Disease Susceptibility,10.1371/journal.pone.0010693
rs17145738,72982874,7,30.06.2011 00:00,Logan Dumitrescu,Genetic Determinants of Lipid Traits in Diverse Populations from the Population Architecture using Genomics and Epidemiology (PAGE) Study,10.1371/journal.pgen.1002138
rs17145738,72982874,7,06.02.2009 00:00,Jennifer K Lowe,Genome-Wide Association Studies in an Isolated Founder Population from the Pacific Island of Kosrae,10.1371/journal.pgen.1000365
rs2302009,75398998,7,19.08.2010 00:00,Matthew Halvorsen,Disease-Associated Mutations That Alter the RNA Structural Ensemble,10.1371/journal.pgen.1001074
rs2005354,76066760,7,31.12.2008 00:00,Susana Campino,Validating Discovered Cis-Acting Regulatory Genetic Variants: Application of an Allele Specific Expression Approach to HapMap Populations,10.1371/journal.pone.0004105
rs2005354,76066760,7,14.08.2009 00:00,Tony Kwan,Tissue Effect on Genetic Control of Transcript Isoform Variation,10.1371/journal.pgen.1000608
rs3779317,77694502,7,20.01.2011 00:00,Elin Grundberg,Global Analysis of the Impact of Environmental Perturbation on cis-Regulation of Gene Expression,10.1371/journal.pgen.1001279
rs7805441,78121458,7,07.05.2009 00:00,Hsin-Chou Yang,Genome-Wide Association Study of Young-Onset Hypertension in the Han Chinese Population of Taiwan,10.1371/journal.pone.0005459
rs11525066,78175977,7,07.08.2009 00:00,Steven G Potkin,Hippocampal Atrophy as a Quantitative Trait in a Genome-Wide Association Study Identifying Novel Susceptibility Genes for Alzheimer's Disease,10.1371/journal.pone.0006501
rs1052133,9798773,3,21.01.2011 00:00,Kshitij Srivastava,"Gallbladder Cancer Predisposition: A Multigenic Approach to DNA-Repair, Apoptotic and Inflammatory Pathway Genes",10.1371/journal.pone.0016449
rs35683,10328250,3,24.02.2011 00:00,Huaidong Du,Genetic Polymorphisms in the Hypothalamic Pathway in Relation to Subsequent Weight Change – The DiOGenes Study,10.1371/journal.pone.0017436
rs4684677,10328453,3,23.03.2011 00:00,Sara Landgren,The Ghrelin Signalling System Is Involved in the Consumption of Sweets,10.1371/journal.pone.0018170
rs12374138,11698796,3,14.09.2010 00:00,Vivian G Cheung,Polymorphic Cis- and Trans-Regulation of Human Gene Expression,10.1371/journal.pbio.1000480
rs310746,12259616,3,07.07.2011 00:00,Yannick Allanore,"Genome-Wide Scan Identifies TNIP1, PSORS1C1, and RHOB as Novel Risk Loci for Systemic Sclerosis",10.1371/journal.pgen.1002091
rs17036101,12277845,3,02.12.2009 00:00,Yudi Pawitan,How Many Genetic Variants Remain to Be Discovered?,10.1371/journal.pone.0007969
rs1801282,12393125,3,05.09.2007 00:00,John PA Ioannidis,Heterogeneity in Meta-Analyses of Genome-Wide Association Investigations,10.1371/journal.pone.0000841
rs1801282,12393125,3,01.01.2010 00:00,Slavica Pecioska,Association between Type 2 Diabetes Loci and Measures of Fatness,10.1371/journal.pone.0008541
rs1801282,12393125,3,10.02.2010 00:00,Jie Wen,"Investigation of Type 2 Diabetes Risk Alleles Support CDKN2A/B, CDKAL1, and TCF7L2 As Susceptibility Genes in a Han Chinese Cohort",10.1371/journal.pone.0009153
rs1801282,12393125,3,20.01.2011 00:00,André Gustavo P Sousa,Genetic Variants of Diabetes Risk and Incident Cardiovascular Events in Chronic Coronary Artery Disease,10.1371/journal.pone.0016341
rs1805192,12421238,3,15.02.2008 00:00,Angela M Hancock,Adaptations to Climate in Candidate Genes for Common Metabolic Disorders,10.1371/journal.pgen.0040032
rs2292101,12434901,3,06.06.2011 00:00,Kazuo Yamada,Genome-Wide Association Study of Schizophrenia in Japanese Population,10.1371/journal.pone.0020468
rs713178,12615984,3,19.09.2011 00:00,Janna E Hutz,Genomewide Analysis of Inherited Variation Associated with Phosphorylation of PI3K/AKT/mTOR Signaling Proteins,10.1371/journal.pone.0024873
rs3729931,12626516,3,30.06.2011 00:00,Dirk S Paul,Maps of Open Chromatin Guide the Functional Follow-Up of Genome-Wide Association Signals: Application to Hematological Traits,10.1371/journal.pgen.1002139
rs388647,21500623,3,21.01.2010 00:00,Eric C Wooten,Application of Gene Network Analysis Techniques Identifies AXIN1/PDIA2 and Endoglin Haplotypes Associated with Bicuspid Aortic Valve,10.1371/journal.pone.0008830
rs1396936,115794126,2,12.11.2010 00:00,Sven Michel,Unifying Candidate Gene and GWAS Approaches in Asthma,10.1371/journal.pone.0013894
rs7566605,118836025,2,06.08.2008 00:00,Camilla H Andreasen,"Non-Replication of Genome-Wide Based Associations between Common Variants in INSIG2 and PFKP and Obesity in Studies of 18,014 Danes",10.1371/journal.pone.0002872
rs7566605,118836025,2,27.04.2007 00:00,Helen N Lyon,The Association of a SNP Upstream of INSIG2 with Body Mass Index is Reproduced in Several but Not All Cohorts,10.1371/journal.pgen.0030061
rs7566605,118836025,2,23.10.2009 00:00,Iris M Heid,"Meta-Analysis of the INSIG2 Association with Obesity Including 74,345 Individuals: Does Heterogeneity of Estimates Relate to Study Design?",10.1371/journal.pgen.1000694
rs7566605,118836025,2,20.01.2011 00:00,Kathryn G Ewens,FTO and MC4R Gene Variants Are Associated with Obesity in Polycystic Ovary Syndrome,10.1371/journal.pone.0016390
rs11673900,118876116,2,22.03.2010 00:00,Mathew J Barber,Genome-Wide Association of Lipid-Lowering Response to Statins in Combined Study Populations,10.1371/journal.pone.0009763
rs2077344,119700096,2,23.08.2011 00:00,Mai-Juan Ma,Genetic Variants in MARCO Are Associated with the Susceptibility to Pulmonary Tuberculosis in Chinese Han Population,10.1371/journal.pone.0024069
rs7581710,121195181,2,28.04.2011 00:00,Kai Wang,A Genome-Wide Association Study on Obesity and Obesity-Related Traits,10.1371/journal.pone.0018939
rs780049,125033303,2,08.07.2010 00:00,Claudia Ha Ting Tam,"Common Polymorphisms in MTNR1B, G6PC2 and GCK Are Associated with Increased Fasting Plasma Glucose and Impaired Beta-Cell Function in Chinese Subjects",10.1371/journal.pone.0011428
rs313289,126069381,2,15.07.2011 00:00,Josine L Min,The Use of Genome-Wide eQTL Associations in Lymphoblastoid Cell Lines to Identify Novel Genetic Pathways Involved in Complex Traits,10.1371/journal.pone.0022070
rs2276582,127816424,2,09.02.2011 00:00,John S K Kauwe,"Fine Mapping of Genetic Variants in BIN1, CLU, CR1 and PICALM for Association with Cerebrospinal Fluid Biomarkers for Alzheimer's Disease",10.1371/journal.pone.0015918
rs12989701,127887985,2,24.02.2011 00:00,Xiaolan Hu,Meta-Analysis for Genome-Wide Association Study Identifies Multiple Variants at the BIN1 Locus Associated with Late-Onset Alzheimer's Disease,10.1371/journal.pone.0016616
rs7561528,127889637,2,17.02.2011 00:00,Ellen M Wijsman,Genome-Wide Association of Familial Late-Onset Alzheimer's Disease Replicates BIN1 and CLU and Nominates CUGBP2 in Interaction with APOE,10.1371/journal.pgen.1001308
rs1158867,128177377,2,11.10.2010 00:00,Christopher A Raistrick,Genome-Wide Data-Mining of Candidate Human Splice Translational Efficiency Polymorphisms (STEPs) and an Online Database,10.1371/journal.pone.0013340
rs5937,128184770,2,31.10.2008 00:00,Kaisa Silander,Gender Differences in Genetic Risk Profiles for Cardiovascular Disease,10.1371/journal.pone.0003615
rs1401296,128189308,2,27.07.2007 00:00,Kirsi Auro,Combined Effects of Thrombosis Pathway Gene Variants Predict Cardiovascular Events,10.1371/journal.pgen.0030120
rs11890277,129090109,2,28.07.2011 00:00,Mingfeng Zhang,Pathway Analysis for Genome-Wide Association Study of Basal Cell Carcinoma of the Skin,10.1371/journal.pone.0022760
rs7312625,114799974,12,10.02.2011 00:00,J Gustav Smith,Genome-Wide Association Studies of the PR Interval in African Americans,10.1371/journal.pgen.1001304
rs11067362,115438082,12,17.03.2011 00:00,James D McKay,A Genome-Wide Association Study of Upper Aerodigestive Tract Cancers Conducted within the INHANCE Consortium,10.1371/journal.pgen.1001333
rs1520173,116182525,12,14.04.2011 00:00,Margot E Bowen,"Loss-of-Function Mutations in PTPN11 Cause Metachondromatosis, but Not Ollier Disease or Maffucci Syndrome",10.1371/journal.pgen.1002050
rs606443,120910630,12,31.08.2010 00:00,Steven E Boyden,High-Density Genomewide Linkage Analysis of Exceptional Human Longevity Identifies Multiple Novel Loci,10.1371/journal.pone.0012432
rs2014355,121175524,12,08.09.2011 00:00,George Nicholson,A Genome-Wide Metabolic QTL Analysis in Europeans Implicates Two Loci Shaped by Recent Positive Selection,10.1371/journal.pgen.1002270
rs7953249,121403724,12,23.12.2010 00:00,Gordan Lauc,Genomics Meets Glycomics—The First GWAS Study of Human N-Glycome Identifies HNF1α as a Master Regulator of Plasma Protein Fucosylation,10.1371/journal.pgen.1001256
rs735396,121438844,12,12.08.2009 00:00,Bahram Jafar-Mohammadi,Low Frequency Variants in the Exons Only Encoding Isoform A of HNF1A Do Not Contribute to Susceptibility to Type 2 Diabetes,10.1371/journal.pone.0006615
rs3213545,121471337,12,15.09.2011 00:00,Abigail W Bigham,Host Genetic Risk Factors for West Nile Virus Infection and Disease Progression,10.1371/journal.pone.0024745
rs3213545,121471337,12,27.02.2009 00:00,Jean K Lim,Genetic Variation in OAS1 Is a Risk Factor for Initial Infection with West Nile Virus in Man,10.1371/journal.ppat.1000321
