Name,Position,Chromosome,First Author,Title,Pubmed link,Year,Journal,Trait,p-value,p-value description,Confidence Interval
rs705702,54676903,12,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,9.0e-26,"",[NR] 
rs2272046,64510728,12,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,2.0e-21,"",[NR] 
rs4784165,50905320,16,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,4.0e-11,"",[NR] 
rs2736100,1286516,5,Rajaraman P,Genome-wide association study of glioma and meta-analysis.,http://www.ncbi.nlm.nih.gov/pubmed/22886559,08/11/2012,Hum Genet,Glioma,4.0e-09,"",[1.19-1.41] 
rs6010620,61780283,20,Rajaraman P,Genome-wide association study of glioma and meta-analysis.,http://www.ncbi.nlm.nih.gov/pubmed/22886559,08/11/2012,Hum Genet,Glioma,1.0e-10,"",[1.28-1.59] 
rs2523722,30273252,6,Irish Schizophrenia Genomics Consortium & the Wellcome Trust Case Control Consortium 2,Genome-Wide Association Study Implicates HLA-C*01:02 as a Risk Factor at the Major Histocompatibility Complex Locus in Schizophrenia.,http://www.ncbi.nlm.nih.gov/pubmed/22883433,08/07/2012,Biol Psychiatry,Schizophrenia,1.0e-16,"",[1.12-1.39] 
rs312691,65837933,17,Cheung CL,Genome-wide association study identifies a susceptibility locus for thyrotoxic periodic paralysis at 17q24.3.,http://www.ncbi.nlm.nih.gov/pubmed/22863731,08/05/2012,Nat Genet,Thyrotoxic hypokalemic periodic paralysis,8.0e-14,"",[2.40-4.40] 
rs8001641,80692811,13,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,3.0e-10,"(Meta-All, NSCL/P)",[1.13-1.511] 
rs987525,130015336,8,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,5.0e-35,"(Meta-All, NSCL/P)",[1.66-2.218] 
rs560426,94326026,1,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,5.0e-10,"(Meta-All, NSCLP)",NR
rs7078160,118817550,10,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,4.0e-11,"(Meta-All, NSCL/P)",[1.213-1.576] 
rs861020,209977111,1,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,3.0e-12,"(Meta-All, NSCL/P)",[1.273-1.635] 
rs742071,18852461,1,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,7.0e-09,"(Meta-All, NSCL/P)",[1.126-1.537] 
rs13041247,38702488,20,Ludwig KU,Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/22863734,08/05/2012,Nat Genet,Orofacial clefts,6.0e-09,"(Meta-All, NSCL/P)",[1.06-1.35] 
rs479777,63864053,11,Fischer A,A Novel Sarcoidosis Risk Locus for Europeans on Chromosome 11q13.1.,http://www.ncbi.nlm.nih.gov/pubmed/22837380,07/26/2012,Am J Respir Crit Care Med,Sarcoidosis,3.0e-18,"",[1.18-1.43] 
rs16851720,142945988,3,Patin E,Genome-wide association study identifies variants associated with progression of liver fibrosis from HCV infection.,http://www.ncbi.nlm.nih.gov/pubmed/22841784,07/26/2012,Gastroenterology,Hepatitis C induced liver fibrosis,9.0e-09,(QTF),NR
rs4374383,112487241,2,Patin E,Genome-wide association study identifies variants associated with progression of liver fibrosis from HCV infection.,http://www.ncbi.nlm.nih.gov/pubmed/22841784,07/26/2012,Gastroenterology,Hepatitis C induced liver fibrosis,1.0e-09,"(Duration F0-1/F3-4, transfused)",NR
rs13144478,116415755,4,Qi Q,Genome-wide association analysis identifies TYW3/CRYZ and NDST4 loci associated with circulating resistin levels.,http://www.ncbi.nlm.nih.gov/pubmed/22843503,07/26/2012,Hum Mol Genet,Resistin levels ,6.0e-18,"",[0.091-0.169] unit increase
rs3931020,75235317,1,Qi Q,Genome-wide association analysis identifies TYW3/CRYZ and NDST4 loci associated with circulating resistin levels.,http://www.ncbi.nlm.nih.gov/pubmed/22843503,07/26/2012,Hum Mol Genet,Resistin levels ,6.0e-12,"",[0.030-0.070] unit increase
rs7733088,147836526,5,Wilk JB,Genome-Wide Association Studies Identify CHRNA5/3 and HTR4 in the Development of Airflow Obstruction.,http://www.ncbi.nlm.nih.gov/pubmed/22837378,07/26/2012,Am J Respir Crit Care Med,Airflow obstruction ,4.0e-09,(Smoker),[NR] 
rs4676410,241212412,2,Ellinghaus D,Genome-wide association analysis in sclerosing cholangitis and ulcerative colitis identifies risk loci at GPR35 and TCF4.,http://www.ncbi.nlm.nih.gov/pubmed/22821403,07/23/2012,Hepatology,Sclerosing cholangitis and ulcerative colitis (combined),2.0e-09,(PSC),[1.24-1.53] 
rs3132306,136580033,9,Hoehn R,Population-based meta-analysis in Caucasians confirms association with COL5A1 and ZNF469 but not COL8A2 with central corneal thickness.,http://www.ncbi.nlm.nih.gov/pubmed/22814818,07/20/2012,Hum Genet,Central corneal thickness,3.0e-10,"",[0.11-0.19] SD increase
rs9938149,86889141,16,Hoehn R,Population-based meta-analysis in Caucasians confirms association with COL5A1 and ZNF469 but not COL8A2 with central corneal thickness.,http://www.ncbi.nlm.nih.gov/pubmed/22814818,07/20/2012,Hum Genet,Central corneal thickness,1.0e-12,"",[0.12-0.20] SD increase
rs17496332,107347898,1,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,1.0e-11,(Men + Women),[0.020-0.036] nmol/L decrease
rs1625895,7518840,17,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,2.0e-21,"(Men + Women, Conditional)",[0.11-0.13] unit decrease
rs6258,7475403,17,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,3.0e-46,"(Men + Women, Conditional)",[0.24-0.31] unit decrease
rs12150660,7462640,17,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,1.0e-100,(Men + Women),[0.094-0.112] umol/L increase
rs8023580,94509295,15,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,1.0e-100,(Men),[0.014-0.036] umol/L decrease
rs440837,81461974,8,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,3.0e-09,(Men + Women),[0.019-0.037] umol/L decrease
rs780093,27596107,2,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,9.0e-11,(Women),[0.029-0.053] nmol/L decrease
rs1573036,109706724,X,Coviello AD,A genome-wide association meta-analysis of circulating sex hormone-binding globulin reveals multiple Loci implicated in sex steroid hormone regulation.,http://www.ncbi.nlm.nih.gov/pubmed/22829776,07/19/2012,PLoS Genet,Sex hormone-binding globulin levels,3.0e-16,(Men),[0.027-0.043] umol/L increase
rs1972809,119751503,X,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,1.0e-24,"",[NR] 
rs6638512,5194702,X,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,2.0e-25,"",NR
rs3117242,33177871,6,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,1.0e-71,"",[NR] 
rs7151526,93933389,14,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,2.0e-09,"",[NR] 
rs2755459,89690783,X,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,9.0e-14,"",[NR] 
rs5941160,88416721,X,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,2.0e-20,"",NR
rs5954596,141188237,X,Lyons PA,Genetically distinct subsets within ANCA-associated vasculitis.,http://www.ncbi.nlm.nih.gov/pubmed/22808956,07/19/2012,N Engl J Med,Antineutrophil cytoplasmic antibody-associated vasculitis ,5.0e-09,"",NR
rs2049805,153461604,1,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),2.0e-12,"",[0.0052-0.0092] mg/dl increase
rs16853722,170633326,3,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),3.0e-14,"",[0.0048-0.0080] mg/dl increase
rs17730281,51695240,15,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),3.0e-11,"",[0.0035-0.0067] mg/dl increase
rs11868441,56594003,17,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),2.0e-09,"",[0.0039-0.0079] mg/dl increase
rs6026584,56902468,20,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),9.0e-09,"",[0.0034-0.0070] mg/dl increase
rs10767873,30725254,11,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),5.0e-16,"",[0.0052-0.0084] mg/dl increase
rs2074356,112645401,12,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),2.0e-09,"",[0.0042-0.0086] mg/dl increase
rs10937329,189196412,3,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (BUN),9.0e-30,"",[0.0082-0.0118] mg/dl increase
rs17730436,51730220,15,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (sCR),1.0e-13,"",[0.0036-0.0064] mg/dl increase
rs11864909,20308340,16,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (sCR),1.0e-10,"",[0.0036-0.0068] mg/dl increase
rs9895661,56811371,17,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (sCR),7.0e-11,"",[0.0031-0.0059] mg/dl increase
rs963837,30705666,11,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (sCR),3.0e-09,"",[0.0025-0.0049] mg/dl increase
rs671,112241766,12,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (sCR),3.0e-10,"",[0.0031-0.0059] mg/dl increase
rs2725220,89178946,4,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (urea),4.0e-30,"",[0.11-0.16] mg/dl increase
rs3775948,9995182,4,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (urea),2.0e-65,"",[0.16-0.20] mg/dl increase
rs889472,79645989,16,Okada Y,Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations.,http://www.ncbi.nlm.nih.gov/pubmed/22797727,07/15/2012,Nat Genet,Renal function-related traits (urea),1.0e-09,"",[0.048-0.094] mg/dl increase
rs3817963,32476065,6,Shiraishi K,A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.,http://www.ncbi.nlm.nih.gov/pubmed/22797724,07/15/2012,Nat Genet,Lung adenocarcinoma,3.0e-10,"",[1.12-1.24] 
rs7216064,63329271,17,Shiraishi K,A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.,http://www.ncbi.nlm.nih.gov/pubmed/22797724,07/15/2012,Nat Genet,Lung adenocarcinoma,7.0e-11,"",[1.13-1.26] 
rs10937405,189383183,3,Shiraishi K,A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.,http://www.ncbi.nlm.nih.gov/pubmed/22797724,07/15/2012,Nat Genet,Lung adenocarcinoma,7.0e-17,"",[1.19-1.32] 
rs2853677,1287194,5,Shiraishi K,A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.,http://www.ncbi.nlm.nih.gov/pubmed/22797724,07/15/2012,Nat Genet,Lung adenocarcinoma,3.0e-40,"",[1.32-1.50] 
rs2526932,72150821,14,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,6.0e-13,(CRP),[NR] mg/dl increase
rs6846071,102621238,4,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,1.0e-11,(CRP),[NR] mg/dl increase
rs10255299,111314796,7,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,7.0e-11,(CRP),[NR] mg/dl increase
rs6904416,99097210,6,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,9.0e-10,(CRP),[NR] mg/dl increase
rs2393791,121423956,12,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,3.0e-09,(CRP),[NR] mg/dl decrease
rs7600502,22150508,2,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,3.0e-09,(WBC),[NR] 10^3/ul decrease
rs8078723,35420405,17,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,3.0e-09,(WBC),[NR] 10^3/ul increase
rs960246,223645803,2,Kong M,Genetic associations with C-reactive protein level and white blood cell count in the KARE study.,http://www.ncbi.nlm.nih.gov/pubmed/22788528,07/13/2012,Int J Immunogenet,C-reactive protein and white blood cell count,1.0e-09,(CRP),[NR] mg/dl increase
rs455804,30068040,21,Li S,GWAS identifies novel susceptibility loci on 6p21.32 and 21q21.3 for hepatocellular carcinoma in chronic hepatitis B virus carriers.,http://www.ncbi.nlm.nih.gov/pubmed/22807686,07/12/2012,PLoS Genet,Hepatocellular carcinoma,5.0e-10,"",[1.12-1.25] 
rs9272105,32707977,6,Li S,GWAS identifies novel susceptibility loci on 6p21.32 and 21q21.3 for hepatocellular carcinoma in chronic hepatitis B virus carriers.,http://www.ncbi.nlm.nih.gov/pubmed/22807686,07/12/2012,PLoS Genet,Hepatocellular carcinoma,5.0e-22,"",[1.22-1.35] 
rs4792800,16785892,17,Liao M,Genome-wide association study identifies common variants at TNFRSF13B associated with IgG level in a healthy Chinese male population.,http://www.ncbi.nlm.nih.gov/pubmed/22785614,07/07/2012,Genes Immun,IgG levels,1.0e-12,"",NR
rs917727,120805815,7,Medina-Gomez C,Meta-analysis of genome-wide scans for total body BMD in children and adults reveals allelic heterogeneity and age-specific effects at the WNT16 locus.,http://www.ncbi.nlm.nih.gov/pubmed/22792070,07/05/2012,PLoS Genet,Bone mineral density,1.0e-27,"",[NR] unit increase
rs523096,22009129,9,Takamoto M,Common variants on chromosome 9p21 are associated with normal tension glaucoma.,http://www.ncbi.nlm.nih.gov/pubmed/22792221,07/05/2012,PLoS One,Glaucoma,5.0e-11,"",[1.69-2.68] 
rs2908004,120757005,7,Zheng HF,"WNT16 influences bone mineral density, cortical bone thickness, bone strength, and osteoporotic fracture risk.",http://www.ncbi.nlm.nih.gov/pubmed/22792071,07/05/2012,PLoS Genet,Bone mineral density,1.0e-15,"",[NR] mg/cm3 decrease
rs2707466,120766325,7,Zheng HF,"WNT16 influences bone mineral density, cortical bone thickness, bone strength, and osteoporotic fracture risk.",http://www.ncbi.nlm.nih.gov/pubmed/22792071,07/05/2012,PLoS Genet,Cortical thickness,2.0e-10,"",[0.071-0.149] mm decrease
rs9525638,42026577,13,Zheng HF,"WNT16 influences bone mineral density, cortical bone thickness, bone strength, and osteoporotic fracture risk.",http://www.ncbi.nlm.nih.gov/pubmed/22792071,07/05/2012,PLoS Genet,Cortical thickness,4.0e-09,"",[0.051-0.129] mm decrease
rs11177,52721305,3,arcOGEN Consortium,Identification of new susceptibility loci for osteoarthritis (arcOGEN): a genome-wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/22763110,07/02/2012,Lancet,Osteoarthritis,5.0e-09,"",[1.06-1.12] 
rs7136259,88605319,12,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,6.0e-10,"",[1.08-1.15] 
rs11066280,111302166,12,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,2.0e-11,"",[1.13-1.25] 
rs10757274,22086055,9,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,8.0e-45,"",[1.31-1.43] 
rs9268402,32449331,6,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,3.0e-15,"",[1.12-1.20] 
rs1842896,156730909,4,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,1.0e-11,"",[1.10-1.19] 
rs9349379,13011943,6,Lu X,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,http://www.ncbi.nlm.nih.gov/pubmed/22751097,07/01/2012,Nat Genet,Coronary heart disease,2.0e-09,"",[1.10-1.21] 
rs7089814,63857570,10,Eriksson N,Genetic variants associated with breast size also influence breast cancer risk.,http://www.ncbi.nlm.nih.gov/pubmed/22747683,06/30/2012,BMC Med Genet,Breast size,3.0e-09,"",[0.065-0.127] cup size increase
rs7816345,36846109,8,Eriksson N,Genetic variants associated with breast size also influence breast cancer risk.,http://www.ncbi.nlm.nih.gov/pubmed/22747683,06/30/2012,BMC Med Genet,Breast size,2.0e-14,"",[0.11-0.19] cup size decrease
rs17625845,121089731,2,Eriksson N,Genetic variants associated with breast size also influence breast cancer risk.,http://www.ncbi.nlm.nih.gov/pubmed/22747683,06/30/2012,BMC Med Genet,Breast size,5.0e-10,"",[.086-.164] cup size increase
rs4849887,120961592,2,Eriksson N,Genetic variants associated with breast size also influence breast cancer risk.,http://www.ncbi.nlm.nih.gov/pubmed/22747683,06/30/2012,BMC Med Genet,Breast size,3.0e-11,"",[0.12-0.22] cup size increase
rs3077,33141000,6,Nishida N,Genome-wide association study confirming association of HLA-DP with protection against chronic hepatitis B and viral clearance in Japanese and Korean.,http://www.ncbi.nlm.nih.gov/pubmed/22737229,06/21/2012,PLoS One,Hepatitis B (viral clearance),1.0e-09,(Clearance of HBV),[1.43-2.0] 
rs9277535,33162839,6,Nishida N,Genome-wide association study confirming association of HLA-DP with protection against chronic hepatitis B and viral clearance in Japanese and Korean.,http://www.ncbi.nlm.nih.gov/pubmed/22737229,06/21/2012,PLoS One,Hepatitis B (viral clearance),2.0e-21,(Protective effects against CHB),[1.47-1.82] 
rs9349379,13011943,6,Hager J,Genome-wide association study in a Lebanese cohort confirms PHACTR1 as a major determinant of coronary artery stenosis.,http://www.ncbi.nlm.nih.gov/pubmed/22745674,06/20/2012,PLoS One,Coronary heart disease,6.0e-12,(LAD),[1.22-1.44] 
rs4657175,160462362,1,Kim JW,A common variant in SLC8A1 is associated with the duration of the electrocardiographic QT interval.,http://www.ncbi.nlm.nih.gov/pubmed/22726844,06/20/2012,Am J Hum Genet,QT interval,1.0e-09,"",[1.156-2.261] ms increase
